customer_id,tenure_months,monthly_spend,support_tickets_90d,late_payments_12m,digital_sessions_30d,contract_type,payment_method,satisfaction_score,discount_rate,products_owned,churn
NOV-00000,27,72.1,3,1,16,mensuel,prelevement,7.7,0.05,2,0
NOV-00001,32,37.64,1,0,18,mensuel,prelevement,9.6,0.1,3,0
NOV-00002,59,125.19,1,1,23,bisannuel,virement,5.6,0.05,3,0
NOV-00003,46,80.99,2,0,14,mensuel,prelevement,8.7,0.0,2,0
NOV-00004,65,58.1,3,2,16,mensuel,carte,5.7,0.0,3,0
NOV-00005,57,123.05,0,0,22,annuel,carte,6.5,0.0,2,0
NOV-00006,34,46.49,2,0,13,bisannuel,carte,7.5,0.0,2,0
NOV-00007,5,97.75,2,1,12,annuel,prelevement,4.3,0.0,1,1
NOV-00008,67,21.51,2,0,20,mensuel,carte,8.3,0.1,2,0
NOV-00009,66,,1,0,16,annuel,prelevement,6.8,0.1,2,0
NOV-00010,17,119.55,3,0,21,annuel,prelevement,9.5,0.2,4,0
NOV-00011,47,148.86,2,2,18,mensuel,prelevement,7.6,0.2,3,1
NOV-00012,13,127.91,1,0,20,mensuel,virement,7.2,0.0,2,0
NOV-00013,14,99.68,1,0,15,mensuel,carte,7.5,0.0,1,0
NOV-00014,5,46.86,2,1,13,mensuel,carte,5.5,0.05,4,1
NOV-00015,19,103.87,0,1,21,bisannuel,carte,9.2,0.2,3,0
NOV-00016,26,57.29,2,1,29,annuel,prelevement,9.2,0.05,2,0
NOV-00017,4,87.26,2,0,18,annuel,carte,8.5,0.0,4,0
NOV-00018,10,111.6,2,0,20,annuel,carte,7.1,0.0,4,1
NOV-00019,32,115.92,1,0,11,annuel,carte,5.9,0.0,2,0
NOV-00020,6,23.3,0,0,14,annuel,prelevement,4.1,0.0,3,0
NOV-00021,8,148.55,3,0,17,mensuel,prelevement,4.4,0.0,4,1
NOV-00022,26,20.54,1,1,18,mensuel,prelevement,9.2,0.0,4,0
NOV-00023,54,72.8,3,1,15,mensuel,prelevement,6.2,0.0,2,1
NOV-00024,21,110.15,0,2,10,mensuel,prelevement,4.8,0.2,2,1
NOV-00025,50,143.86,2,0,20,mensuel,prelevement,9.1,0.05,4,0
NOV-00026,19,112.58,1,1,18,mensuel,prelevement,5.7,0.2,1,1
NOV-00027,19,83.63,2,1,18,bisannuel,virement,9.5,0.1,1,0
NOV-00028,36,65.18,1,1,25,annuel,carte,8.2,0.0,1,0
NOV-00029,15,134.13,3,0,18,mensuel,prelevement,,0.05,4,0
NOV-00030,57,50.29,1,1,19,mensuel,carte,5.9,0.1,1,0
NOV-00031,28,33.34,4,1,18,mensuel,prelevement,7.8,0.1,4,0
NOV-00032,10,112.99,1,1,20,mensuel,carte,8.3,0.0,3,1
NOV-00033,44,148.55,0,0,20,mensuel,carte,10.0,0.1,2,1
NOV-00034,17,48.06,1,0,18,mensuel,prelevement,,0.0,4,0
NOV-00035,42,27.15,0,1,17,annuel,prelevement,7.8,0.0,3,0
NOV-00036,62,109.43,2,0,14,mensuel,carte,6.9,0.2,2,0
NOV-00037,1,38.34,0,0,20,mensuel,prelevement,4.9,0.05,1,0
NOV-00038,6,87.16,2,0,15,annuel,prelevement,10.0,0.0,3,0
NOV-00039,53,81.32,1,0,15,bisannuel,carte,8.6,0.1,1,0
NOV-00040,3,96.37,0,0,15,mensuel,prelevement,6.4,0.0,1,1
NOV-00041,22,46.78,3,0,19,mensuel,prelevement,5.1,0.0,2,1
NOV-00042,2,144.85,0,3,19,annuel,prelevement,9.1,0.0,4,1
NOV-00043,8,,2,0,13,mensuel,prelevement,4.1,0.05,4,1
NOV-00044,57,48.99,1,0,21,mensuel,prelevement,6.9,0.1,1,0
NOV-00045,31,32.34,3,0,15,bisannuel,prelevement,9.9,0.05,2,0
NOV-00046,11,125.45,1,2,15,mensuel,prelevement,7.3,0.0,1,1
NOV-00047,41,137.87,1,1,15,bisannuel,prelevement,7.2,0.0,4,1
NOV-00048,29,130.0,0,0,14,annuel,carte,7.3,0.0,1,0
NOV-00049,2,130.51,0,1,24,mensuel,carte,6.8,0.2,2,1
NOV-00050,66,59.06,1,1,13,bisannuel,prelevement,7.2,0.0,3,0
